nama_rumah_sakit,jenis_rumah_sakit,alamat,kelurahan,kecamatan,kabupaten_kota,kode_pos,nomor_telepon,nomor_fax,alamat_email,alamat_website,jumlah_tempat_tidur_kelas_vvip,jumlah_tempat_tidur_kelas_vip,jumlah_tempat_tidur_kelas_eksekutif,jumlah_tempat_tidur_kelas_kelas_1,jumlah_tempat_tidur_kelas_kelas_2,jumlah_tempat_tidur_kelas_kelas_3,jumlah_tempat_tidur_kelas_perinatal,jumlah_tempat_tidur_ruang_icu,jumlah_tempat_tidur_ruang_picu,jumlah_tempat_tidur_ruang_nicu,jumlah_tempat_tidur_ruang_hcu,jumlah_tempat_tidur_ruang_iccu,jumlah_tempat_tidur_ruang_igd,jumlah_tempat_tidur_ruang_isolasi,jumlah_tempat_tidur_ruang_1_day_care,jumlah_tempat_tidur_ruang_operasi,jumlah_tempat_tidur_kamar_bersalin,jumlah_tempat_tidur_kelas_hemodialisa,jumlah_tempat_tidur_ruang_anak,jumlah_tempat_tidur_non_kelas,jumlah_tempat_tidur_lain_lain,total_tempat_tidur
Kemayoran,Rumah Sakit Umum Daerah,Jalan  Serdang Baru I,Serdang,Kemayoran,Jakarta Pusat,10650,(021) 4801847,(021) 4801846,rsukemayoran@gmail.com,rsukemayoran.jakarta.go.id,,,,,,48,4,  ,  ,  ,2,  ,5,1,  ,1,7,  ,21,  ,  ,89
Sawah Besar,Rumah Sakit Umum Daerah,Jalan  Dwiwarna Raya  Nomor 6-8,Karang Anyar,Sawah Besar,Jakarta Pusat,10740,(021) 6289080 / 4224041,(021) 4224041,eduardthomasp@gmail.com,,,,,,,,,,,,,,,,,,,,,,,0
Cilincing,Rumah Sakit Umum Daerah,Jalan  Madya Kebantenan  Nomor 4,Semper Timur,Cilincing,Jakarta Utara,14130,(021) 4412889 / 4416367,(021) 4412889 / 4416367,rsukcilincing@gmail.com,,,,,,,14,3,  ,  ,  ,1,  ,6,  ,  ,1,5,  ,8,  ,  ,38
Tugu Koja,Rumah Sakit Umum Daerah,Jalan  Walang Permai  Nomor 39,Tugu Utara,Koja,Jakarta Utara,14260,(021) 43905651/ 4358809,(021) 4367168,rsukeckoja@yahoo.com,www.rsudtugukoja.com,,,,,,19,4,  ,  ,  ,1,  ,6,1,  ,1,5,  ,8,  ,  ,45
Tanjung Priok,Rumah Sakit Umum Daerah,Jalan  Bugis  Nomor 3,Kebon Bawang,Tanjung Priok,Jakarta Utara,14310,,,mr_rsudtjpriok@yahoo.com,,,,,,,40,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,40
Pademangan,Rumah Sakit Umum Daerah,Jalan Budi Mulia Raya Nomor 2 RT.0015/RW.011,Pademangan Barat,Pademangan,Jakarta Utara,14420,,,rsupademangan@gmail.com,,,,,,,20,2,  ,  ,  ,2,  ,5,2,  ,1,7,  ,13,  ,  ,52
Tamansari,Rumah Sakit Umum Daerah,Jalan Madu  Nomor 10 RT.002 / RW.03,Mangga Besar,Tamansari,Jakarta Barat,11150,(021) 629775/6297752,,rsuktamansari@gmail.com,,,,,,,24,  ,  ,  ,  ,  ,  ,5,5,  ,  ,6,  ,15,  ,  ,55
Kembangan,Rumah Sakit Umum Daerah,Jalan  Topaz Blok F-2  Nomor 3,Meruya Ilir,Kembangan,Jakarta Barat,11620,(021) 5870834,(021) 5870834,pkm_kembangan@yahoo.com ,,,,,,,,,,,,,,,,,,,,,,,0
Kalideres,Rumah Sakit Umum Daerah,Jalan  Satu Maret  Nomor 48  RT.001 / RW.04,Pegadungan,Kalideres,Jakarta Barat,11830,(021) 22526519/ 22552766,(021) 54390576,rskalideres@gmail.com,www.rsukalideres.com,,,,,,20,2,  ,  ,  ,4,  ,8,2,  ,1,8,  ,  ,  ,  ,45
Kebayoran Baru,Rumah Sakit Umum Daerah,Jalan H. Abdul Majid  Nomor 1 RT.002/RW.05,Cipete Utara,Kebayoran Baru,Jakarta Selatan,12150,(021) 08999554177  / 22774429  / 22774461,(021) 22774464  / 22774429,rsudkebayoranbaru@gmail.com,,,,,,,36,1,  ,  ,  ,1,  ,4,1,  ,1,2,  ,  ,  ,  ,46
Kebayoran Lama,Rumah Sakit Umum Daerah,Jalan  Jetayu  RT.001 / RW.012,Kebayoran Lama Selatan,Kebayoran Lama,Jakarta Selatan,12240,(021) 7245439,,,,,,,,,35,  ,  ,  ,  ,2,  ,5,2,  ,1,7,  ,  ,  ,  ,52
Pesanggrahan,Rumah Sakit Umum Daerah,Jalan  Cenek 1  Nomor 1,Pesanggrahan,Pesanggrahan,Jakarta Selatan,12320,(021) 7356087,,rsupesanggrahan@gmail.com,,,,,,,39,  ,  ,  ,  ,2,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,41
Jatipadang,Rumah Sakit Umum Daerah,Jalan  Raya Ragunan  Nomor 16-17,Jatipadang,Pasar Minggu,Jakarta Selatan,12540,(021) 22784448,(021) 22784446,rsudjatipadang@gmail.com,www.rsudjatipadang.jakarta.go.id ,,,,,,,,,,,,,,,,,,,,,,0
Jagakarsa,Rumah Sakit Umum Daerah,Jalan  Mohamad Kahfi 1  Nomor 27 A,Jagakarsa,Jagakarsa,Jakarta Selatan,12620,(021) 7864707 - 78882455,(021) 22708072,rsukecjagakarsa@gmail.com,rsudjagakarsa.jakarta.go.id,,,,,,17,3,  ,  ,  ,3,  ,4,1,  ,1,3,  ,8,  ,  ,40
Mampang Prapatan,Rumah Sakit Umum Daerah,Jalan  Kapten P. Tendean  Nomor 9,Mampang Prapatan,Mampang Prapatan,Jakarta Selatan,12790,(021) 79192187,,rsudmampangprapatan@gmail.com,,,,,,,29,2,  ,  ,  ,2,  ,3,  ,  ,1,2,  ,  ,  ,6,45
Tebet,Rumah Sakit Umum Daerah,Jalan  Prof. Supomo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Matraman,Rumah Sakit Umum Daerah,Jalan Kebon Kelapa Raya  Nomor 29 B,Matraman,Matraman,Jakarta Timur,13120,(021) 8581957  / 85909055,(021) 85909055,rsukmatraman@gmail.com,,,,,,,16,3,  ,  ,  ,3,  ,4,2,  ,2,5,  ,  ,  ,  ,35
Kramat Jati,Rumah Sakit Umum Daerah,Jalan  Raya Inpres  Nomor 48,Kampung Tengah,Kramat Jati,Jakarta Timur,13540,(021) 87791152 / 87793604,(021) 87793604,rsukramatjati@gmail.com,,,,,,,26,4,  ,  ,  ,  ,  ,6,  ,  ,  ,2,  ,  ,  ,  ,38
Ciracas,Rumah Sakit Umum Daerah,Jalan  Raya Lapangan Tembak,Cibubur I,Ciracas,Jakarta Timur,13720,(021) 87711249 / 8711189,(021) 8718995,rsuciracas@gmail.com,rsuciracas.jakarta.go.id,,,,,,18,  ,  ,  ,  ,3,  ,3,1,  ,1,5,  ,8,  ,  ,39
Cipayung,Rumah Sakit Umum Daerah,Jalan  Mini III   RT.004 / RW.03,Bambu Apus,Cipayung,Jakarta Timur,13890,,,rsudcipayung@gmail.com,,,,,,,33,  ,  ,  ,  ,2,  ,5,1,  ,1,9,  ,  ,  ,  ,51
